build_type,version,git_revision,optimize_native,malloc_type,input_file,req_trials,req_burnin_trials,req_conf_lvl,req_delta,req_stop_on_conv,req_conv_pol,req_no_kn,req_no_xor,req_compile,req_ccf,req_overhead_ratio,model_name,model_has_default_name,model_num_fault_trees,model_num_event_trees,model_num_alignments,model_num_rules,model_num_sequences,model_num_parameters,model_num_substitutions,model_num_basic_events,model_num_house_events,model_num_gates,model_num_ccf_groups,model_num_gates_and,model_num_gates_or,model_num_gates_atleast,model_num_gates_xor,model_num_gates_not,model_num_gates_nand,model_num_gates_nor,model_num_gates_null,pdag_root_index,pdag_complement_graph,pdag_coherent_graph,pdag_normalized_graph,pdag_num_gates_total,pdag_num_modules,pdag_num_gates_neg_indices,pdag_num_gates_pos_and_neg,pdag_num_variables_total,pdag_num_variables_neg_indices,pdag_num_variables_pos_and_neg,pdag_num_gates_and,pdag_num_gates_or,pdag_num_gates_atleast,pdag_num_gates_xor,pdag_num_gates_not,pdag_num_gates_nand,pdag_num_gates_nor,pdag_num_gates_null,pdag_num_constants,pdag_has_constants,pdag_has_null_gates,pdag_max_gate_fan_in,pdag_avg_gate_fan_in,pdag_num_substitutions,compression_factor_basic_events,compression_factor_house_events,compression_factor_gates,compression_factor_gates_and,compression_factor_gates_or,compression_factor_gates_atleast,compression_factor_gates_xor,compression_factor_gates_not,compression_factor_gates_nand,compression_factor_gates_nor,compression_factor_gates_null,compression_factor_all_nodes,preprocessing_time_us
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,217
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,244
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,205
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,199
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,187
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,187
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,214
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,229
Release,0.17.0,unknown,1,System Malloc,fixtures/models/aralia-fault-tree-dataset/data/openpsa/chinese.xml,10000,1048576,9.90000000e-01,1.00000000e-03,0,bayes,0,0,C2,0,5.00000000e-02,,1,1,0,0,0,0,0,0,25,0,36,0,13,23,0,0,0,0,0,0,27,0,1,1,25,11,0,0,25,0,0,7,18,0,0,0,0,0,0,0,0,0,4,2.24000000e+00,0,1.00000000e+00,0.00000000e+00,1.44000000e+00,1.85714286e+00,1.27777778e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22000000e+00,228
